<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.02	02:51:00	5358.35	5359.95	5355.79	5357.66	254	0	47
2026.03.02	02:52:00	5357.52	5360.16	5352.32	5353.76	278	0	49
2026.03.02	02:53:00	5353.58	5353.59	5344.76	5345.65	396	0	52
2026.03.02	02:54:00	5345.66	5348.92	5342.37	5345.19	295	0	50
2026.03.02	02:55:00	5345.25	5346.59	5340.76	5345.47	372	0	52
2026.03.02	02:56:00	5344.92	5349.81	5344.68	5349.53	330	0	53
2026.03.02	02:57:00	5349.58	5353.21	5346.83	5351.76	304	0	46
2026.03.02	02:58:00	5351.75	5354.91	5351.74	5354.73	264	0	51
2026.03.02	02:59:00	5354.72	5354.72	5346.66	5347.33	297	0	53
2026.03.02	03:00:00	5347.30	5347.30	5326.96	5342.73	555	0	46
2026.03.02	03:01:00	5342.72	5343.48	5321.00	5331.11	561	0	48
2026.03.02	03:02:00	5331.08	5335.71	5324.70	5330.01	562	0	49
2026.03.02	03:03:00	5330.02	5330.30	5316.25	5317.02	523	0	50
2026.03.02	03:04:00	5317.01	5333.08	5316.96	5329.61	437	0	53
2026.03.02	03:05:00	5329.30	5335.38	5324.12	5334.57	482	0	53
2026.03.02	03:06:00	5334.61	5334.89	5327.64	5328.73	493	0	53
2026.03.02	03:07:00	5328.76	5328.76	5318.17	5327.53	480	0	49
2026.03.02	03:08:00	5327.50	5329.92	5325.66	5327.40	415	0	54
2026.03.02	03:09:00	5327.42	5331.08	5326.50	5327.22	421	0	51
2026.03.02	03:10:00	5327.06	5334.12	5325.58	5325.80	398	0	48
2026.03.02	03:11:00	5325.79	5335.82	5325.78	5333.82	348	0	53
2026.03.02	03:12:00	5333.89	5339.19	5331.88	5333.63	469	0	45
2026.03.02	03:13:00	5333.62	5340.92	5330.97	5338.62	487	0	52
2026.03.02	03:14:00	5338.58	5342.93	5337.11	5339.96	409	0	49
2026.03.02	03:15:00	5339.88	5340.56	5334.11	5337.53	432	0	52
2026.03.02	03:16:00	5337.51	5343.61	5333.72	5343.48	409	0	50
2026.03.02	03:17:00	5343.49	5345.56	5335.95	5341.97	486	0	49
2026.03.02	03:18:00	5341.89	5343.86	5334.91	5337.51	458	0	49
2026.03.02	03:19:00	5337.68	5340.90	5331.53	5332.46	407	0	50
2026.03.02	03:20:00	5332.43	5336.03	5326.43	5326.43	447	0	49
2026.03.02	03:21:00	5326.54	5332.61	5326.41	5332.01	421	0	50
2026.03.02	03:22:00	5331.98	5336.56	5331.71	5332.72	407	0	52
2026.03.02	03:23:00	5332.83	5332.98	5327.71	5328.01	414	0	52
2026.03.02	03:24:00	5327.97	5328.14	5319.07	5322.89	447	0	53
2026.03.02	03:25:00	5323.04	5328.33	5323.04	5328.33	375	0	49
2026.03.02	03:26:00	5328.36	5330.57	5322.95	5324.19	362	0	50
2026.03.02	03:27:00	5324.29	5325.54	5316.60	5324.01	397	0	52
2026.03.02	03:28:00	5324.27	5326.20	5323.41	5325.97	336	0	51
2026.03.02	03:29:00	5326.00	5326.00	5303.06	5307.47	490	0	30
2026.03.02	03:30:00	5307.43	5315.28	5305.24	5310.69	521	0	47
2026.03.02	03:31:00	5310.71	5314.88	5309.03	5313.90	474	0	48
2026.03.02	03:32:00	5313.95	5316.37	5310.48	5314.44	503	0	52
2026.03.02	03:33:00	5314.34	5327.08	5314.34	5324.87	440	0	52
2026.03.02	03:34:00	5324.89	5327.46	5323.08	5325.52	484	0	53
2026.03.02	03:35:00	5325.55	5329.32	5322.70	5327.54	470	0	50
2026.03.02	03:36:00	5327.50	5331.10	5326.73	5327.49	454	0	54
2026.03.02	03:37:00	5327.57	5329.78	5325.66	5327.21	388	0	50
2026.03.02	03:38:00	5327.22	5333.31	5325.57	5332.56	441	0	51
2026.03.02	03:39:00	5332.57	5334.74	5330.71	5334.46	374	0	51
2026.03.02	03:40:00	5334.40	5336.23	5333.34	5335.79	418	0	52
2026.03.02	03:41:00	5335.78	5335.79	5327.68	5331.55	423	0	50
2026.03.02	03:42:00	5331.61	5338.74	5330.22	5337.02	419	0	50
2026.03.02	03:43:00	5337.04	5338.83	5336.14	5338.64	411	0	52
2026.03.02	03:44:00	5338.66	5338.79	5333.72	5333.83	353	0	52
2026.03.02	03:45:00	5333.54	5336.77	5331.29	5335.98	354	0	53
2026.03.02	03:46:00	5335.84	5337.96	5333.25	5333.83	433	0	51
2026.03.02	03:47:00	5333.84	5334.31	5329.66	5331.01	347	0	50
2026.03.02	03:48:00	5330.99	5333.05	5327.12	5329.36	386	0	52
2026.03.02	03:49:00	5329.38	5332.29	5329.03	5330.86	357	0	48
2026.03.02	03:50:00	5330.92	5332.36	5328.92	5332.20	381	0	48
2026.03.02	03:51:00	5332.68	5334.95	5331.49	5334.84	269	0	52
2026.03.02	03:52:00	5334.83	5335.03	5328.56	5330.48	328	0	52
2026.03.02	03:53:00	5330.41	5330.47	5326.18	5329.79	355	0	52
2026.03.02	03:54:00	5329.43	5337.16	5329.36	5337.16	283	0	51
2026.03.02	03:55:00	5337.17	5337.47	5334.16	5334.53	294	0	53
2026.03.02	03:56:00	5334.48	5334.52	5327.00	5332.14	376	0	51
2026.03.02	03:57:00	5331.70	5332.90	5327.30	5329.11	315	0	52
2026.03.02	03:58:00	5329.01	5329.54	5323.74	5326.78	361	0	49
2026.03.02	03:59:00	5326.84	5327.60	5321.61	5324.86	330	0	51
2026.03.02	04:00:00	5324.84	5330.52	5323.63	5330.11	456	0	51
2026.03.02	04:01:00	5330.08	5331.57	5326.14	5328.36	387	0	51
2026.03.02	04:02:00	5328.53	5329.46	5321.30	5321.46	428	0	51
2026.03.02	04:03:00	5321.45	5325.12	5319.84	5324.85	399	0	51
2026.03.02	04:04:00	5324.86	5325.02	5322.35	5323.28	329	0	49
2026.03.02	04:05:00	5323.31	5325.26	5320.71	5320.93	412	0	46
2026.03.02	04:06:00	5321.22	5322.71	5316.85	5319.88	493	0	50
2026.03.02	04:07:00	5320.24	5324.57	5319.47	5324.33	380	0	50
2026.03.02	04:08:00	5324.32	5325.48	5321.57	5323.44	379	0	51
2026.03.02	04:09:00	5323.38	5328.92	5322.52	5327.55	359	0	46
2026.03.02	04:10:00	5327.54	5327.54	5323.23	5326.56	328	0	52
2026.03.02	04:11:00	5326.49	5329.89	5323.69	5329.54	315	0	47
2026.03.02	04:12:00	5329.52	5335.51	5329.43	5331.50	372	0	47
2026.03.02	04:13:00	5331.51	5331.51	5325.20	5326.54	332	0	49
2026.03.02	04:14:00	5326.73	5327.99	5325.29	5327.99	309	0	49
2026.03.02	04:15:00	5327.95	5332.61	5327.85	5331.91	329	0	47
2026.03.02	04:16:00	5332.20	5334.30	5331.63	5332.97	355	0	50
2026.03.02	04:17:00	5332.96	5334.13	5329.12	5329.23	390	0	47
2026.03.02	04:18:00	5328.68	5329.59	5327.04	5327.04	303	0	49
2026.03.02	04:19:00	5327.05	5328.73	5326.17	5327.24	258	0	52
2026.03.02	04:20:00	5327.25	5330.75	5326.12	5329.99	273	0	49
2026.03.02	04:21:00	5329.94	5332.19	5329.19	5331.48	263	0	47
2026.03.02	04:22:00	5331.52	5336.14	5330.67	5334.81	366	0	48
2026.03.02	04:23:00	5334.82	5335.97	5332.69	5335.77	330	0	47
2026.03.02	04:24:00	5335.73	5335.94	5332.65	5332.74	242	0	50
2026.03.02	04:25:00	5332.67	5333.23	5330.06	5330.15	231	0	51
2026.03.02	04:26:00	5330.14	5331.91	5327.21	5328.51	239	0	50
2026.03.02	04:27:00	5328.52	5329.02	5326.49	5326.64	258	0	50
2026.03.02	04:28:00	5326.62	5330.15	5326.15	5328.96	273	0	46
2026.03.02	04:29:00	5328.80	5331.78	5328.12	5331.39	214	0	52
2026.03.02	04:30:00	5331.05	5331.87	5329.25	5330.87	383	0	51
2026.03.02	04:31:00	5330.93	5331.41	5328.47	5330.76	270	0	50
2026.03.02	04:32:00	5330.70	5334.47	5329.18	5333.63	338	0	51
2026.03.02	04:33:00	5333.66	5333.70	5329.76	5329.87	324	0	51
2026.03.02	04:34:00	5329.87	5334.38	5329.85	5334.38	349	0	51
2026.03.02	04:35:00	5334.39	5336.55	5332.10	5334.03	359	0	50
2026.03.02	04:36:00	5334.12	5336.97	5333.27	5335.27	296	0	52
2026.03.02	04:37:00	5335.25	5341.85	5335.25	5336.37	418	0	51
2026.03.02	04:38:00	5336.28	5339.74	5336.19	5337.99	343	0	51
2026.03.02	04:39:00	5338.00	5339.68	5337.46	5338.75	355	0	50
2026.03.02	04:40:00	5338.80	5341.62	5338.05	5341.55	358	0	52
2026.03.02	04:41:00	5341.56	5344.68	5340.75	5344.01	406	0	52
2026.03.02	04:42:00	5344.02	5346.23	5342.71	5343.43	380	0	52
2026.03.02	04:43:00	5343.49	5348.30	5342.53	5348.30	390	0	49
2026.03.02	04:44:00	5348.32	5351.57	5348.05	5351.03	355	0	50
2026.03.02	04:45:00	5351.04	5351.72	5348.80	5350.22	383	0	50
2026.03.02	04:46:00	5350.25	5350.45	5348.27	5348.94	331	0	48
2026.03.02	04:47:00	5348.96	5350.65	5347.97	5348.19	304	0	48
2026.03.02	04:48:00	5348.24	5348.31	5343.16	5345.06	313	0	49
2026.03.02	04:49:00	5345.05	5347.01	5344.48	5345.91	303	0	48
2026.03.02	04:50:00	5345.90	5347.43	5344.78	5346.86	303	0	50
2026.03.02	04:51:00	5346.88	5347.70	5345.05	5345.20	263	0	51
2026.03.02	04:52:00	5345.17	5346.27	5343.97	5344.00	245	0	52
2026.03.02	04:53:00	5344.03	5344.99	5340.84	5340.86	306	0	50
2026.03.02	04:54:00	5340.85	5346.11	5340.85	5344.67	286	0	51
2026.03.02	04:55:00	5344.77	5345.48	5342.72	5343.21	333	0	49
2026.03.02	04:56:00	5344.48	5346.37	5343.15	5345.85	356	0	52
2026.03.02	04:57:00	5345.87	5348.30	5345.45	5346.73	244	0	52
2026.03.02	04:58:00	5346.71	5347.32	5345.48	5347.11	269	0	50
2026.03.02	04:59:00	5347.06	5348.76	5345.39	5346.23	309	0	49
2026.03.02	05:00:00	5346.52	5348.31	5344.70	5347.95	298	0	51
2026.03.02	05:01:00	5348.00	5350.18	5345.66	5345.79	325	0	48
2026.03.02	05:02:00	5345.76	5349.56	5344.39	5348.85	334	0	48
2026.03.02	05:03:00	5348.86	5353.78	5348.78	5353.77	344	0	49
2026.03.02	05:04:00	5353.76	5355.13	5351.80	5352.87	292	0	50
2026.03.02	05:05:00	5352.88	5354.72	5352.82	5354.48	201	0	50
2026.03.02	05:06:00	5354.46	5355.14	5353.04	5353.86	330	0	50
2026.03.02	05:07:00	5353.88	5355.80	5353.76	5355.50	269	0	51
2026.03.02	05:08:00	5355.53	5355.83	5352.86	5353.44	285	0	49
2026.03.02	05:09:00	5353.46	5353.46	5351.19	5352.10	271	0	52
2026.03.02	05:10:00	5352.13	5353.73	5351.25	5352.87	253	0	49
2026.03.02	05:11:00	5352.61	5354.50	5351.61	5353.58	322	0	49
2026.03.02	05:12:00	5353.57	5357.38	5352.21	5355.82	318	0	49
2026.03.02	05:13:00	5355.81	5355.83	5349.53	5351.70	331	0	47
2026.03.02	05:14:00	5351.68	5355.33	5351.43	5354.99	293	0	49
2026.03.02	05:15:00	5354.97	5354.97	5351.42	5351.74	299	0	47
2026.03.02	05:16:00	5351.76	5352.46	5349.77	5352.30	302	0	49
2026.03.02	05:17:00	5352.28	5355.26	5352.23	5354.45	290	0	50
2026.03.02	05:18:00	5354.43	5356.21	5353.03	5354.62	316	0	50
2026.03.02	05:19:00	5354.58	5358.89	5354.58	5358.62	321	0	49
2026.03.02	05:20:00	5358.58	5359.08	5354.25	5355.65	321	0	50
2026.03.02	05:21:00	5355.59	5359.39	5354.88	5359.38	245	0	46
2026.03.02	05:22:00	5358.96	5359.36	5358.20	5358.21	208	0	49
2026.03.02	05:23:00	5358.26	5358.93	5356.71	5357.17	218	0	50
2026.03.02	05:24:00	5357.15	5358.93	5356.52	5356.80	293	0	50
2026.03.02	05:25:00	5356.81	5358.03	5356.44	5357.20	303	0	48
2026.03.02	05:26:00	5357.23	5358.49	5356.64	5358.14	278	0	46
2026.03.02	05:27:00	5358.16	5358.90	5357.16	5357.16	210	0	50
2026.03.02	05:28:00	5357.22	5358.05	5357.06	5357.79	250	0	52
2026.03.02	05:29:00	5357.84	5357.92	5354.38	5355.50	297	0	46
2026.03.02	05:30:00	5355.44	5356.04	5354.07	5355.78	266	0	50
2026.03.02	05:31:00	5355.80	5360.13	5353.69	5358.72	286	0	49
2026.03.02	05:32:00	5358.71	5360.20	5357.23	5359.07	246	0	50
2026.03.02	05:33:00	5359.04	5359.81	5357.98	5358.00	216	0	51
2026.03.02	05:34:00	5357.64	5359.09	5355.31	5358.47	203	0	47
2026.03.02	05:35:00	5358.44	5360.33	5357.80	5358.59	272	0	46
2026.03.02	05:36:00	5358.57	5359.65	5357.61	5359.39	164	0	49
2026.03.02	05:37:00	5359.37	5361.86	5358.71	5361.81	150	0	45
2026.03.02	05:38:00	5361.58	5364.68	5361.03	5363.50	245	0	49
2026.03.02	05:39:00	5363.51	5363.74	5361.63	5363.74	226	0	49
2026.03.02	05:40:00	5363.81	5363.86	5362.35	5363.86	131	0	51
2026.03.02	05:41:00	5363.85	5364.13	5362.26	5362.51	195	0	48
2026.03.02	05:42:00	5362.48	5362.51	5359.08	5359.54	220	0	49
2026.03.02	05:43:00	5359.55	5361.73	5358.81	5360.94	258	0	49
2026.03.02	05:44:00	5361.21	5363.28	5360.80	5361.96	251	0	49
2026.03.02	05:45:00	5361.99	5364.21	5361.23	5361.35	239	0	46
2026.03.02	05:46:00	5361.41	5361.83	5359.54	5360.06	144	0	49
2026.03.02	05:47:00	5360.10	5363.64	5360.10	5363.64	181	0	48
2026.03.02	05:48:00	5363.65	5363.67	5361.66	5362.68	151	0	49
2026.03.02	05:49:00	5362.69	5363.35	5361.92	5362.35	168	0	50
2026.03.02	05:50:00	5362.32	5363.02	5362.22	5362.35	156	0	49
2026.03.02	05:51:00	5362.31	5362.84	5360.42	5361.76	178	0	47
2026.03.02	05:52:00	5361.78	5363.05	5361.78	5363.02	141	0	48
2026.03.02	05:53:00	5363.09	5363.79	5363.04	5363.58	108	0	46
2026.03.02	05:54:00	5363.52	5363.52	5362.80	5363.29	143	0	49
2026.03.02	05:55:00	5363.30	5366.00	5362.26	5365.74	188	0	48
2026.03.02	05:56:00	5365.75	5366.08	5364.88	5365.88	190	0	49
2026.03.02	05:57:00	5365.93	5366.49	5365.75	5366.40	170	0	48
2026.03.02	05:58:00	5366.42	5366.53	5362.77	5365.18	191	0	49
2026.03.02	05:59:00	5365.18	5366.47	5364.54	5366.22	229	0	48
2026.03.02	06:00:00	5366.16	5366.96	5365.48	5365.89	185	0	47
2026.03.02	06:01:00	5365.90	5366.80	5363.48	5363.65	200	0	49
2026.03.02	06:02:00	5363.66	5365.00	5363.20	5365.00	207	0	49
2026.03.02	06:03:00	5365.04	5365.23	5364.04	5364.05	179	0	50
2026.03.02	06:04:00	5363.91	5364.39	5360.07	5360.09	228	0	49
2026.03.02	06:05:00	5360.11	5362.57	5355.99	5362.39	329	0	49
2026.03.02	06:06:00	5362.36	5363.45	5360.47	5360.47	238	0	49
2026.03.02	06:07:00	5360.43	5360.43	5357.13	5357.29	233	0	50
2026.03.02	06:08:00	5357.29	5357.96	5355.58	5355.58	178	0	47
2026.03.02	06:09:00	5355.59	5357.88	5355.59	5357.15	177	0	49
2026.03.02	06:10:00	5357.14	5359.53	5357.14	5359.19	122	0	50
2026.03.02	06:11:00	5359.16	5359.51	5357.60	5359.21	119	0	49
2026.03.02	06:12:00	5359.23	5362.55	5358.89	5360.32	216	0	47
2026.03.02	06:13:00	5360.30	5360.51	5357.79	5357.99	200	0	48
2026.03.02	06:14:00	5357.98	5358.07	5355.85	5355.85	120	0	51
2026.03.02	06:15:00	5355.93	5357.95	5355.66	5357.56	187	0	51
2026.03.02	06:16:00	5357.65	5360.15	5356.88	5359.59	134	0	47
2026.03.02	06:17:00	5359.21	5359.66	5358.58	5359.66	84	0	45
2026.03.02	06:18:00	5359.71	5361.85	5359.71	5359.96	168	0	50
2026.03.02	06:19:00	5359.89	5364.96	5359.17	5364.54	276	0	46
2026.03.02	06:20:00	5364.65	5364.88	5363.09	5363.49	173	0	48
2026.03.02	06:21:00	5363.53	5364.53	5363.17	5363.54	175	0	50
2026.03.02	06:22:00	5363.49	5364.92	5362.68	5364.80	171	0	46
2026.03.02	06:23:00	5364.81	5365.78	5364.41	5364.74	187	0	49
2026.03.02	06:24:00	5364.77	5364.86	5362.50	5363.72	243	0	49
2026.03.02	06:25:00	5363.71	5365.30	5363.15	5363.22	169	0	47
2026.03.02	06:26:00	5363.20	5364.96	5363.14	5364.86	97	0	49
2026.03.02	06:27:00	5364.99	5365.28	5362.67	5363.16	135	0	47
2026.03.02	06:28:00	5363.17	5363.34	5362.65	5363.02	145	0	50
2026.03.02	06:29:00	5362.93	5364.00	5362.77	5363.14	111	0	51
2026.03.02	06:30:00	5363.16	5364.14	5359.35	5359.63	178	0	46
2026.03.02	06:31:00	5359.65	5362.29	5359.56	5360.28	178	0	49
2026.03.02	06:32:00	5360.27	5361.09	5358.84	5360.07	159	0	50
2026.03.02	06:33:00	5360.10	5361.15	5359.13	5360.98	110	0	49
2026.03.02	06:34:00	5360.97	5362.06	5360.83	5360.95	119	0	50
2026.03.02	06:35:00	5360.93	5361.05	5357.19	5357.82	134	0	46
2026.03.02	06:36:00	5357.77	5358.43	5352.75	5353.33	245	0	49
2026.03.02	06:37:00	5353.34	5353.88	5345.26	5346.00	285	0	46
2026.03.02	06:38:00	5346.03	5351.39	5346.00	5349.05	319	0	47
2026.03.02	06:39:00	5349.00	5351.30	5347.43	5350.20	322	0	49
2026.03.02	06:40:00	5350.33	5352.60	5350.04	5352.02	216	0	49
2026.03.02	06:41:00	5352.06	5352.06	5350.47	5350.99	137	0	49
2026.03.02	06:42:00	5351.02	5351.09	5347.02	5349.56	304	0	45
2026.03.02	06:43:00	5349.55	5352.69	5349.32	5352.11	208	0	49
2026.03.02	06:44:00	5352.09	5355.25	5352.03	5354.15	222	0	48
2026.03.02	06:45:00	5354.13	5355.30	5352.85	5352.85	179	0	50
2026.03.02	06:46:00	5352.90	5352.90	5350.68	5351.69	212	0	48
2026.03.02	06:47:00	5351.67	5353.22	5351.02	5352.66	214	0	47
2026.03.02	06:48:00	5352.64	5354.74	5352.63	5353.77	201	0	49
2026.03.02	06:49:00	5353.79	5354.25	5353.07	5353.32	132	0	50
2026.03.02	06:50:00	5353.28	5354.35	5352.59	5353.06	135	0	50
2026.03.02	06:51:00	5353.10	5355.02	5352.43	5354.61	133	0	50
2026.03.02	06:52:00	5354.57	5356.44	5353.92	5356.41	157	0	48
2026.03.02	06:53:00	5356.44	5356.79	5355.32	5356.64	204	0	48
2026.03.02	06:54:00	5356.67	5358.23	5356.44	5358.23	139	0	49
